id,date,date_built,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view
f8a53099-ba1c-47d6-9c31-7398aa8f6089,2022-04-08,2016,936923,4,3,3167,11733,2,1,76
7530a2d8-1ae3-4517-9f4a-befe060c4353,2021-06-13,2013,379628,2,2,2235,14384,1,0,23
43de979c-0bf0-4c9f-85ef-96dc27b258d5,2019-04-12,2014,417866,2,2,2127,10575,2,0,0
b672c137-b88c-48bf-9f18-d0a4ac62fb8b,2019-10-16,2016,239895,2,2,1631,11149,2,0,0
e0726d4d-d595-4074-8283-4139a54d0d63,2022-01-08,2017,424418,3,2,2249,13878,2,0,4
5aa00529-0533-46ba-870c-9e881580ef35,2019-01-30,2017,218712,2,3,1965,14375,2,0,7
131492a1-72e2-4a84-bf97-0db14973bfdb,2020-02-08,2017,419199,2,3,2062,8876,2,0,6
8d54a71b-c520-44e5-8ba1-5a84be03ad35,2019-07-21,2010,323956,2,3,1506,11816,1,0,25
e81aacfe-17fe-46b1-a52a-4753d1622b4a,2020-06-16,2016,181925,3,3,2137,11709,2,0,22
2ed8d509-7372-46d5-a9dd-9281a95467d4,2021-08-06,2015,258710,3,3,1918,9666,1,0,25
f876d86f-3c9f-42b6-928f-bcb685c070ed,2019-02-27,2011,167864,3,3,2471,13924,2,0,15
0a2bd445-8508-4d83-b6be-f043bf3f3b24,2021-12-30,2014,337527,2,3,1926,12556,1,0,23
941bad30-eb49-4a78-b83a-87abb87a62db,2020-05-09,2015,229896,3,3,2197,8641,1,0,3
dd61eb34-6589-4c04-92ba-fc3c44f1b670,2021-07-25,2016,210247,3,2,1672,11986,2,0,28
f1e4cef7-d151-4391-8d00-d92ed2b7ab1b,2019-02-01,2011,398667,2,3,2331,11356,1,0,7
ea620c7b-c2f7-4c6f-9d16-3ccb34320ca4,2021-05-31,2011,437958,3,3,2356,11052,1,0,26
f233cb41-6f33-4b0c-b9ed-1b8aa87163e5,2021-07-18,2016,437375,4,3,1704,11721,2,0,34
c797ca12-52cd-4b13-9338-183653619b11,2019-06-08,2015,288650,2,3,2100,10419,2,0,7
0cfe57f3-28c2-472c-9bc3-aaeac6807e62,2019-10-04,2015,308313,3,3,1960,9453,2,0,2
4566cd2a-ac6e-4358-b1ad-56921991ff60,2019-07-15,2016,177541,3,3,2130,10517,2,0,25
50873b8b-92b8-44cf-a7d4-968072ad246e,2022-06-05,2017,268554,3,3,1962,13955,2,0,6
e0fc52aa-c349-4ba6-872c-77aadbf832b3,2019-04-17,2016,202790,3,3,2025,10987,2,0,19
0be5f2fd-e2ca-46c7-a26a-0400bffa2b43,2020-04-30,2014,189137,3,2,2021,8788,1,0,42
164f451a-413b-469a-96e1-2eeb486ae5b0,2022-04-26,2017,377485,2,2,1937,9033,2,0,23
38734ead-26b0-4d3f-b03b-fd155855f8be,2019-04-21,2014,209944,2,2,1646,11161,2,0,23
2dc662fe-57b8-44bf-928b-7042028a4813,2020-04-20,2016,417215,4,2,2104,8227,2,0,48
e252c4ce-b5b2-4efd-9817-1bf70d282d26,2019-10-28,2014,168463,3,3,2271,8317,2,0,2
a16c1fd3-50c3-4e72-b058-15883ce83bcf,2020-02-12,2014,372151,3,3,1787,12012,2,0,16
d715f295-2fbf-4e9a-a79b-b0437aed3777,2021-05-17,2015,391574,3,2,1635,8040,2,0,10
a18515a2-86f3-46bc-bd12-b192120aadaf,2022-02-18,2015,419543,3,2,1642,12826,2,0,24
d5f2062a-8950-417b-b99c-9144e9fea078,2019-09-02,2016,305980,4,2,1799,13004,1,0,26
f5e01433-f7b0-44e5-96d9-1e190b721af5,2021-03-10,2010,335326,4,3,1588,14107,1,0,8
a818abe9-fec6-48d8-833b-2ecd99b789ad,2019-08-20,2017,334284,4,2,2378,12034,2,0,38
15a5830f-1529-4c57-9030-495d706dda9d,2019-07-06,2010,843191,3,6,5086,14637,2,0,91
0ffe23e3-9d0f-4423-b488-cb913ff471f1,2021-11-18,2017,429183,3,3,2162,12567,1,0,49
63640c17-973d-4f59-9db6-992609006a22,2019-11-14,2010,148400,2,3,2338,11275,2,0,5
209c1286-0834-4635-bf48-c84eead14852,2021-07-04,2010,395178,3,2,1504,9617,2,0,37
d6b9fc56-fc83-469e-91a0-27e489d3cf54,2021-10-23,2013,332675,3,2,1515,8390,1,0,21
dd1f72c1-9273-47ba-a118-b99f720f0094,2021-10-22,2014,296834,2,3,1779,11213,1,0,5
98f6a9ad-8870-474e-aba3-756bacf08d98,2022-05-07,2015,136752,2,3,1701,10771,2,0,5
513c8016-c85b-4f6c-9374-1bfc7fc6f5f3,2019-04-13,2016,138006,4,2,1780,14211,2,0,12
7ac67498-b6f3-4038-b7b0-1d5178bbb0b8,2021-05-12,2015,349318,4,3,2417,11304,2,0,37
08784e80-3b51-483f-b0bf-67d933407fe3,2020-04-28,2016,273544,2,3,1664,10137,2,0,22
bb2ff269-f08f-4e82-9698-a929cbf1ae4d,2022-03-06,2010,429030,3,3,2049,11882,2,0,23
c9bfdb1c-2499-4e3a-8298-4c0d4e2253a0,2021-12-07,2015,268874,2,2,1537,12177,1,0,10
c12e7b75-fafb-4083-a2c0-b0be2ea0586b,2020-07-07,2013,151929,2,3,1952,13274,2,0,9
5a55a233-f534-407f-b82e-7092097a873a,2020-07-21,2011,288365,4,2,1643,14886,2,0,29
d04f2255-6614-44bf-98e2-4082477eafc5,2020-07-22,2012,249441,2,2,1808,12977,2,0,17
ae3b0e50-4238-4211-a9ff-3a76efde5e2c,2019-10-13,2013,299056,4,3,1613,11634,2,0,17
77a2d239-67a3-43b0-8835-901a204510c3,2021-06-18,2016,396508,3,3,1890,10081,2,0,25
f99463dd-c04f-4c4b-86bb-07908daf34cb,2020-08-31,2014,232702,4,2,1717,9138,1,0,19
141ef834-60cf-42e8-ac03-2f59fc461526,2021-10-13,2017,399016,2,3,1773,13699,1,0,23
7c24b34e-03b8-4ebb-80e6-b58f0c9393bb,2020-08-18,2012,214584,3,2,2024,11836,2,0,33
4e7589ae-cc76-480b-bbb2-8bd69cb99824,2019-06-23,2013,139970,2,3,2192,10466,2,0,7
34c31a34-220d-469c-a592-04e0378c42b2,2019-02-06,2015,409011,3,3,2356,10507,1,0,1
eb92915b-c0dc-45a9-8f47-d2a130f71cfe,2021-12-31,2012,395125,2,2,2027,12092,2,0,29
ffc3b5af-2180-445e-80f8-890c3405f59c,2020-07-20,2012,301886,4,2,2387,10259,2,0,41
ddf82ffe-df12-4779-b2e1-b6299e2d7e42,2020-02-06,2014,268775,4,3,2413,8383,2,0,8
f470d9ea-5edb-4e2e-8af0-8088c7bea794,2019-05-14,2016,441656,3,2,2434,14563,2,0,36
be0ccb95-415d-411a-b249-df2b4e9a3ef8,2020-05-15,2015,425154,4,3,2120,14229,2,0,4
1daf46c7-f059-4b38-abfc-bf6a69668a42,2020-12-16,2017,148840,2,2,2444,8267,2,0,32
1ce21d55-2744-4329-bf0a-935048eabee0,2022-03-30,2014,266254,4,2,1661,11223,1,0,40
241c4f9c-ede3-4569-8f17-f0e343e09d03,2021-07-19,2012,422956,2,2,1627,13477,1,0,19
4e3e1f11-cab6-4c68-9aeb-59af3d2126c1,2019-11-06,2014,210935,2,2,1757,9373,1,0,19
8e05076c-0c64-4295-86ae-a77bc97f9a66,2022-06-03,2011,381358,4,3,2190,13460,1,0,46
7c8448c9-d6a7-46a7-80bc-ce75d9d8f002,2021-01-25,2016,137482,2,2,2353,11308,2,0,49
fd8213d0-3872-4de1-9efa-238a0753c92b,2020-04-23,2017,858900,4,5,4465,9873,1,1,53
44b0b335-2cbd-433a-a125-bc537aafc9ef,2020-06-04,2013,1467672,7,3,5510,8269,1,1,93
e9031a86-1294-444d-8078-b0ee54b00f23,2021-10-09,2015,222322,4,3,1928,10510,1,0,38
731d14ac-9dd1-4e51-af7a-fc77b9fd5adf,2021-03-27,2011,323749,4,2,2427,14387,2,0,21
e6d7c2a7-596e-4ecd-88d9-09ad4b2c5c17,2019-03-15,2015,131201,4,3,1633,14655,1,0,22
7acb88a1-8a4f-4a7a-ae33-c80216852c1a,2019-03-31,2016,351363,3,3,1771,13037,2,0,13
d03391c1-cfd4-4d1c-97cc-1f9d945d6f19,2022-04-01,2011,158791,3,3,2371,12585,2,0,23
0c686512-f14e-4506-9a86-4bcc773dd6a3,2022-06-12,2013,391189,3,3,1552,9659,2,0,31
01c9ef98-40a7-4f81-8efa-368a0e842bb7,2019-07-27,2016,322051,4,2,2195,13510,1,0,13
b9c0dba6-0199-4d57-8d2c-794cff9a8ef2,2022-05-26,2013,239787,2,2,2200,8582,1,0,14
15ae955a-5651-46a0-a7e5-ca7592b26e6d,2019-03-13,2014,348166,2,3,2231,11923,2,0,34
5ddaab68-9440-4253-ab93-4e0ac3c664c5,2021-07-17,2014,442812,4,3,2495,9091,2,0,50
b26d30c2-8504-414b-8dcd-e74c23ca9076,2019-12-10,2013,165844,4,2,2164,9014,1,0,10
02fb596e-2db7-4581-b06f-5af37c2b7df4,2022-02-07,2017,408740,2,2,1638,10328,1,0,4
cd8dfd79-b501-476c-9eff-d827da8c3f0d,2020-06-12,2017,187924,2,2,1721,9308,1,0,33
2d6d6575-aaf2-4ae9-8658-75ff75389cd7,2022-03-11,2010,399296,2,3,2306,8079,1,0,50
a8673552-5c99-40d5-8909-65d6565eba21,2022-03-26,2010,188992,4,3,2121,8176,1,0,24
7c79d1e1-d8c1-4c91-a51d-57d49a3259c4,2019-08-25,2010,207040,3,2,2130,10721,2,0,4
24ba1e84-88a6-4e30-bab4-9d6ad1295dad,2019-09-17,2017,207869,3,3,1768,11426,1,0,12
4174271b-8234-4b6b-a3d5-6f8bfb664d6e,2022-01-25,2010,310022,4,3,1732,13145,1,0,23
6683714b-3df7-4545-bc38-fb0d8b231dfb,2022-02-01,2015,333403,4,2,2059,9793,2,0,4
ede93538-bd44-434b-80fb-9dc73e32aa14,2021-03-02,2016,283444,4,3,1942,8083,2,0,36
7ebca02b-6f74-4c22-a359-194cd65f4a38,2020-06-13,2013,212334,3,2,2371,12164,2,0,23
221d5995-f497-4759-87fb-bf46af201bb5,2019-10-22,2012,283262,2,2,2151,11755,1,0,10
00ce46df-952c-4ce2-8af8-6bb2e5a0c92b,2020-05-11,2016,430471,3,3,1935,13334,2,0,10
78617d49-c29d-4536-af1d-38f6834af219,2019-01-17,2014,421594,4,3,1868,10425,2,0,16
406b1d73-3e15-4674-a85e-18c60aae2f6b,2019-02-06,2014,325842,3,2,2171,13353,2,0,28
e69a029e-e93d-42aa-a9c3-ad855ff91c52,2022-03-31,2010,202861,3,3,1573,10212,1,0,48
00fc996f-508c-430f-ad01-76872875af19,2021-07-15,2015,373139,3,3,1763,11363,1,0,39
ac3240b6-b066-40b1-8ec1-3be7ef927010,2019-03-10,2017,193148,3,2,1721,13277,1,0,33
daf0ed32-a4cd-438e-a93a-6dbd219ca4ff,2020-12-08,2012,245081,3,2,2395,8956,1,0,46
05d0bf31-3b7b-4143-90a1-d33051659646,2019-03-29,2014,351540,4,2,2419,11219,1,0,13
503722a6-f2d6-44ca-b4a6-85e434a3f450,2019-09-09,2012,132268,2,3,1868,13182,2,0,33
3d5545f8-bd3b-4763-9a57-23e4cf21cbd3,2020-09-19,2015,797862,4,6,3494,10385,2,0,90
572de7af-d55c-4317-95bb-78337958895a,2020-08-23,2011,138467,4,3,2408,14326,1,0,45
1c912207-ea69-407a-8be6-9cc3e1463765,2022-03-16,2013,234777,3,2,1949,13028,1,0,41
2747ff2f-f844-4fa1-856f-30ceb14e28b3,2021-12-04,2017,148755,4,2,2471,10734,1,0,18
2792bb6d-ea02-4e2f-9270-764fdbf438bc,2021-02-09,2010,360444,3,3,2383,12503,2,0,29
202f4b95-e1bf-40dd-8d8c-4d9ad04ee641,2021-09-08,2012,236250,2,2,1977,8608,2,0,22
a1dd1603-cc3c-448e-975f-34b25154830a,2019-02-19,2014,155882,4,3,1918,9573,1,0,44
b508414d-40c0-4072-92c0-9121494ced05,2019-07-12,2012,195216,3,3,1607,12666,2,0,12
63aefaa5-a03b-4c06-bf9d-c7addcf9e245,2020-04-28,2016,196895,2,3,2043,13617,2,0,34
ab7129d8-82b2-4f00-853f-d3a351d2b01e,2021-12-30,2011,310974,4,2,1522,14845,2,0,21
56d1b8d5-965c-4b9f-a92e-1cc6f4bb2e46,2019-03-01,2017,250902,2,3,1918,11750,2,0,32
ec6d357c-2435-43ef-8d57-4c4ef827fddc,2019-05-28,2015,401792,3,2,1627,10765,1,0,50
88466a29-da92-48b6-9d99-531161886c65,2019-04-29,2012,443110,2,3,2222,14076,2,0,28
81b9d2af-40b7-439c-aaeb-060b6baba0ba,2019-07-02,2014,179557,2,2,2333,8264,1,0,26
aa7c10bd-8a42-404e-9a30-dcf12de64cf1,2019-02-09,2013,191167,4,2,2287,15000,1,0,10
1fc8277d-ac34-4249-810c-1ff8c9633764,2022-04-26,2017,254527,3,3,2226,14060,2,0,42
c2be38fb-814a-4034-835b-0214dd0eafcc,2020-03-20,2015,352237,3,3,2485,10954,2,0,6
c4495471-5dc3-42dd-9649-dfede1b7b567,2021-08-19,2016,294828,4,2,2215,9393,2,0,46
7898c50f-2611-4c76-8fe4-274d34d492ce,2022-02-08,2017,182631,4,2,2000,12926,1,0,27
0cc0724a-b2e5-4c19-bd6d-b6d8980042ca,2019-09-28,2014,185943,3,3,1996,9607,1,0,5
27654698-8cd8-42dd-8cff-fd796ba23ae3,2022-04-15,2013,428849,4,3,2221,10152,2,0,36
dbe10577-d7ac-4441-ba87-794f17ed717d,2021-11-16,2014,304546,2,2,1576,13264,2,0,14
9570de1f-5a74-45b1-acee-639608ee1859,2021-11-29,2015,298453,3,2,2222,10634,1,0,6
46253a27-08a1-4f04-a615-6c12d1f2b31b,2019-07-10,2017,288903,2,3,2112,9498,1,0,1
ecf4221c-d54f-40c5-8478-df3ecb4d9dec,2020-09-04,2012,406291,2,2,1735,9751,1,0,7
f1a0d2cc-a288-4b23-b74e-0c36aed84fad,2020-03-18,2011,217946,2,3,2432,10575,2,0,18
34958f82-f0bc-446b-bb32-47442d3bee8b,2021-12-05,2011,421050,4,2,2225,13330,2,0,37
6bbf1912-5323-434e-b1c4-ec35dc32213a,2020-09-17,2012,399494,4,3,1577,13042,1,0,38
fe25fcc5-37c6-49ed-8e8c-e438869abb54,2020-10-12,2016,188101,2,3,1709,12971,1,0,19
ae749736-c24d-470a-989b-73ab83d58f43,2021-06-21,2013,406015,2,3,2245,11745,2,0,13
1baeff4f-fc00-489d-85b1-51c31a634a8d,2020-12-17,2015,152775,3,2,1623,13851,1,0,41
66a1c93e-2e35-4605-8061-72f6eca97e39,2019-03-29,2012,315892,4,3,1581,14024,1,0,45
31f80670-c104-411c-b89f-13cb4ab2fa96,2021-04-17,2012,250726,4,2,2164,9576,1,0,35
c7d09d09-7d76-4b11-a5ec-81ddfed8b2c4,2019-06-02,2014,618191,4,4,3880,11083,3,0,91
75b49f11-fa91-4f1d-8db4-a0841cd370a3,2019-01-14,2010,136238,2,2,2096,11393,2,0,4
aa8e5e5d-522a-4951-b54f-a4ce550b374d,2019-02-28,2016,1343434,8,3,5432,14245,1,1,89
0def0c9c-2cf8-4cca-b785-6f24cf3a8817,2019-12-11,2016,142414,4,3,1918,14428,2,0,36
f305e381-e4ed-4095-8c65-f33acd48ca53,2020-09-07,2010,228706,2,2,1565,13901,1,0,18
510347ba-9725-45ff-a62e-8294fb64508c,2021-11-08,2015,207789,3,3,1682,8286,2,0,1
6f411257-1ab1-4900-8783-d500bcb60c0d,2019-10-04,2011,336711,2,2,1787,10918,2,0,2
2892f8f3-8662-4cfd-af0b-1057c5f27e6d,2021-12-02,2012,294140,2,2,1634,14360,2,0,8
30e7c747-3b60-4abb-99ff-213fb516fab1,2022-03-02,2010,249514,2,2,2429,14998,1,0,39
b1e1c9d0-8cc9-40a0-8b1e-936d473787f0,2021-10-25,2013,238247,3,2,2307,13214,2,0,32
e91ea034-8164-44a8-9e0a-d5854b5c0d12,2020-10-14,2010,182173,4,2,1938,8964,2,0,21
7aefac6d-67d9-44da-813d-0f907214e976,2022-05-22,2010,128073,2,2,2096,14835,1,0,16
c5646185-aba4-45ea-8283-e40c069bdb05,2022-03-01,2014,157524,2,2,1891,13911,2,0,16
5112f184-7a3f-4f7d-ac29-79b5b3cca55f,2019-07-25,2015,417244,4,3,2447,13976,2,0,0
a4a1a614-ad3c-4f84-a65b-389482945904,2021-01-11,2015,425489,3,3,2051,9161,2,0,26
da5df765-7cb5-4154-b07f-9c29e21e6a5a,2021-07-06,2013,332702,2,2,2232,13063,1,0,6
0f4881e8-27b2-475b-bfcc-f9e829c14cd0,2019-01-23,2016,373973,2,2,2347,13690,1,0,22
a79437f6-994d-4f18-9460-812005bb2bae,2019-12-17,2016,447374,4,3,1516,10735,2,0,43
a5a34253-d9ec-4962-a064-ba145dca511a,2020-10-28,2015,249865,3,2,1783,8707,1,0,8
05fad77b-a7bb-4b4d-82b3-89d911ddf050,2020-11-01,2013,274348,2,3,1709,10836,2,0,35
ab89fbc9-d9b8-46fb-a3ae-a00496f275f4,2021-03-07,2012,296514,2,3,2442,12744,2,0,16
b7733d82-744a-44d6-a618-60db16045b28,2020-08-01,2011,224063,3,3,1618,9101,2,0,4
72e83e8b-b3be-4466-aff4-04611387434b,2020-03-25,2014,438525,2,2,2014,11326,2,0,11
17b0ff90-1d3d-48f6-919a-f7f4dfe9d244,2019-08-10,2017,130797,3,3,1835,11117,2,0,24
ce519c6e-701a-4a2d-a832-34042c481073,2022-03-05,2015,236997,3,3,2487,11245,2,0,21
a3f98ec2-c1f7-4e4c-b74f-ed0a5d4a000b,2019-12-19,2011,327522,2,3,2191,13783,2,0,45
a0cdbd3e-a851-4f49-b37e-4211b0ee2aec,2021-09-03,2010,292036,4,2,1559,8204,2,0,13
3393932a-d126-40ac-afaa-05ec5fca3df5,2020-07-28,2011,332130,4,2,1811,8133,1,0,1
6c7475ea-438f-4e35-89c2-62e4e5e3b0cd,2021-09-23,2012,426101,4,2,1508,8577,1,0,42
8cf6fcb2-8ff9-4022-b37d-95f330bdd74b,2021-01-28,2015,204710,3,3,2234,11000,1,0,37
1f910846-ef45-4605-a95c-714a1496b46a,2019-02-10,2014,283035,2,2,1906,9187,2,0,13
